Stage,Assignment,Wait Type,Time
Error Identification,1,work,15
Error Identification,1,wait,38
Error Identification,2,work,65
Error Identification,2,wait,132
Error Identification,3,work,111
Error Identification,3,wait,107
Error Identification,4,work,54
Error Identification,4,wait,412
Error Identification,5,work,64
Error Identification,5,wait,660
Error Identification,6,work,250
Error Identification,6,wait,518
Error Identification,7,work,103
Error Identification,7,wait,703
Error Identification,8,work,115
Error Identification,8,wait,827
Fixing Error,1,work,66
Fixing Error,1,wait,62
Fixing Error,2,work,13
Fixing Error,2,wait,236
Fixing Error,3,work,123
Fixing Error,3,wait,416
Fixing Error,4,work,129
Fixing Error,4,wait,443
Fixing Error,5,work,257
Fixing Error,5,wait,413
Fixing Error,6,work,25
Fixing Error,6,wait,717
Fixing Error,7,work,122
Fixing Error,7,wait,652
Voting on Alternatives,1,work,47
Voting on Alternatives,1,wait,253
Voting on Alternatives,2,work,141
Voting on Alternatives,2,wait,164
Voting on Alternatives,3,work,24
Voting on Alternatives,3,wait,404
Voting on Alternatives,4,work,92
Voting on Alternatives,4,wait,356
Voting on Alternatives,5,work,61
Voting on Alternatives,5,wait,886
Fixing Error,1,work,36
Fixing Error,1,wait,365
Fixing Error,2,work,24
Fixing Error,2,wait,741
Fixing Error,3,work,73
Fixing Error,3,wait,782
Fixing Error,4,work,81
Fixing Error,4,wait,778
Fixing Error,5,work,57
Fixing Error,5,wait,840
Fixing Error,6,work,138
Fixing Error,6,wait,962
Voting on Alternatives,1,work,15
Voting on Alternatives,1,wait,148
Voting on Alternatives,2,work,33
Voting on Alternatives,2,wait,167
Voting on Alternatives,3,work,63
Voting on Alternatives,3,wait,281
Voting on Alternatives,4,work,99
Voting on Alternatives,4,wait,419
Voting on Alternatives,5,work,40
Voting on Alternatives,5,wait,547
Fixing Error,1,work,56
Fixing Error,1,wait,223
Fixing Error,2,work,154
Fixing Error,2,wait,489
Fixing Error,3,work,66
Fixing Error,3,wait,580
Fixing Error,4,work,26
Fixing Error,4,wait,786
Fixing Error,5,work,32
Fixing Error,5,wait,876
Fixing Error,6,work,113
Fixing Error,6,wait,866
Voting on Alternatives,1,work,44
Voting on Alternatives,1,wait,105
Voting on Alternatives,2,work,67
Voting on Alternatives,2,wait,87
Voting on Alternatives,3,work,61
Voting on Alternatives,3,wait,96
Voting on Alternatives,4,work,36
Voting on Alternatives,4,wait,124
Voting on Alternatives,5,work,12
Voting on Alternatives,5,wait,307
Voting on Alternatives,6,work,214
Voting on Alternatives,6,wait,659
Fixing Error,1,work,61
Fixing Error,1,wait,139
Fixing Error,2,work,12
Fixing Error,2,wait,271
Fixing Error,3,work,70
Fixing Error,3,wait,269
Fixing Error,4,work,32
Fixing Error,4,wait,682
Fixing Error,5,work,41
Fixing Error,5,wait,729
Fixing Error,6,work,49
Fixing Error,6,wait,726
Fixing Error,7,work,33
Fixing Error,7,wait,949
Voting on Alternatives,1,work,76
Voting on Alternatives,1,wait,85
Voting on Alternatives,2,work,25
Voting on Alternatives,2,wait,288
Voting on Alternatives,3,work,28
Voting on Alternatives,3,wait,422
Voting on Alternatives,4,work,54
Voting on Alternatives,4,wait,513
Voting on Alternatives,5,work,62
Voting on Alternatives,5,wait,781
Fixing Error,1,work,17
Fixing Error,1,wait,249
Fixing Error,2,work,21
Fixing Error,2,wait,763
Fixing Error,3,work,170
Fixing Error,3,wait,647
Fixing Error,4,work,55
Fixing Error,4,wait,774
Fixing Error,5,work,31
Fixing Error,5,wait,899
Fixing Error,6,work,58
Fixing Error,6,wait,881
Fixing Error,7,work,106
Fixing Error,7,wait,859
Voting on Alternatives,1,work,66
Voting on Alternatives,1,wait,153
Voting on Alternatives,2,work,29
Voting on Alternatives,2,wait,212
Voting on Alternatives,3,work,66
Voting on Alternatives,3,wait,294
Voting on Alternatives,4,work,112
Voting on Alternatives,4,wait,322
Voting on Alternatives,5,work,30
Voting on Alternatives,5,wait,942
Fixing Error,1,work,47
Fixing Error,1,wait,206
Fixing Error,2,work,11
Fixing Error,2,wait,293
Fixing Error,3,work,26
Fixing Error,3,wait,373
Fixing Error,4,work,27
Fixing Error,4,wait,649
Fixing Error,5,work,70
Fixing Error,5,wait,647
Voting on Alternatives,1,work,33
Voting on Alternatives,1,wait,169
Voting on Alternatives,2,work,18
Voting on Alternatives,2,wait,462
Voting on Alternatives,3,work,43
Voting on Alternatives,3,wait,550
Voting on Alternatives,4,work,193
Voting on Alternatives,4,wait,409
Voting on Alternatives,5,work,53
Voting on Alternatives,5,wait,717
