Stage,Assignment,Wait Type,Time
Error Identification,1,work,47
Error Identification,1,wait,198
Error Identification,2,work,152
Error Identification,2,wait,193
Error Identification,3,work,26
Error Identification,3,wait,321
Error Identification,4,work,121
Error Identification,4,wait,479
Error Identification,5,work,121
Error Identification,5,wait,510
Error Identification,6,work,70
Error Identification,6,wait,580
Error Identification,7,work,130
Error Identification,7,wait,1275
Fixing Error,1,work,24
Fixing Error,1,wait,139
Fixing Error,2,work,45
Fixing Error,2,wait,119
Fixing Error,3,work,120
Fixing Error,3,wait,294
Fixing Error,4,work,66
Fixing Error,4,wait,532
Voting on Alternatives,1,work,67
Voting on Alternatives,1,wait,54
Voting on Alternatives,2,work,46
Voting on Alternatives,2,wait,173
Voting on Alternatives,3,work,132
Voting on Alternatives,3,wait,232
Voting on Alternatives,4,work,45
Voting on Alternatives,4,wait,325
Voting on Alternatives,5,work,107
Voting on Alternatives,5,wait,504
Fixing Error,1,work,12
Fixing Error,1,wait,122
Fixing Error,2,work,102
Fixing Error,2,wait,155
Fixing Error,3,work,117
Fixing Error,3,wait,217
Fixing Error,4,work,48
Fixing Error,4,wait,315
Fixing Error,5,work,48
Fixing Error,5,wait,614
Voting on Alternatives,1,work,52
Voting on Alternatives,1,wait,99
Voting on Alternatives,2,work,50
Voting on Alternatives,2,wait,113
Voting on Alternatives,3,work,85
Voting on Alternatives,3,wait,153
Voting on Alternatives,4,work,69
Voting on Alternatives,4,wait,192
Voting on Alternatives,5,work,105
Voting on Alternatives,5,wait,326
Fixing Error,1,work,21
Fixing Error,1,wait,86
Fixing Error,2,work,97
Fixing Error,2,wait,78
Fixing Error,3,work,56
Fixing Error,3,wait,230
Fixing Error,4,work,126
Fixing Error,4,wait,220
Fixing Error,5,work,138
Fixing Error,5,wait,326
Fixing Error,6,work,109
Fixing Error,6,wait,464
Voting on Alternatives,1,work,84
Voting on Alternatives,1,wait,88
Voting on Alternatives,2,work,28
Voting on Alternatives,2,wait,366
Voting on Alternatives,3,work,189
Voting on Alternatives,3,wait,289
Voting on Alternatives,4,work,45
Voting on Alternatives,4,wait,469
Voting on Alternatives,5,work,58
Voting on Alternatives,5,wait,631
Voting on Alternatives,6,work,192
Voting on Alternatives,6,wait,639
