Stage,Assignment,Wait Type,Time,Paragraph
Error Identification,1,work,76,0
Error Identification,1,wait,178,0
Error Identification,2,work,141,0
Error Identification,2,wait,168,0
Error Identification,3,work,120,0
Error Identification,3,wait,300,0
Error Identification,4,work,105,0
Error Identification,4,wait,331,0
Error Identification,5,work,71,0
Error Identification,5,wait,391,0
Error Identification,6,work,146,0
Error Identification,6,wait,373,0
Error Identification,7,work,137,0
Error Identification,7,wait,921,0
Error Identification,8,work,128,0
Error Identification,8,wait,977,0
Error Identification,9,work,83,0
Error Identification,9,wait,1094,0
Fixing Error,1,work,17,0
Fixing Error,1,wait,198,0
Fixing Error,2,work,11,0
Fixing Error,2,wait,221,0
Fixing Error,3,work,21,0
Fixing Error,3,wait,385,0
Fixing Error,4,work,37,0
Fixing Error,4,wait,744,0
Fixing Error,5,work,52,0
Fixing Error,5,wait,983,0
Voting on Alternatives,1,work,39,0
Voting on Alternatives,1,wait,218,0
Voting on Alternatives,2,work,47,0
Voting on Alternatives,2,wait,3460,0
Voting on Alternatives,3,work,43,0
Voting on Alternatives,3,wait,3540,0
Fixing Error,1,work,11,0
Fixing Error,1,wait,148,0
Fixing Error,2,work,24,0
Fixing Error,2,wait,157,0
Fixing Error,3,work,18,0
Fixing Error,3,wait,520,0
Fixing Error,4,work,32,0
Fixing Error,4,wait,550,0
Fixing Error,5,work,23,0
Fixing Error,5,wait,781,0
Voting on Alternatives,1,work,50,0
Voting on Alternatives,1,wait,65,0
Voting on Alternatives,2,work,47,0
Voting on Alternatives,2,wait,77,0
Voting on Alternatives,3,work,110,0
Voting on Alternatives,3,wait,318,0
Fixing Error,1,work,24,0
Fixing Error,1,wait,117,0
Fixing Error,2,work,10,0
Fixing Error,2,wait,214,0
Fixing Error,3,work,108,0
Fixing Error,3,wait,287,0
Fixing Error,4,work,19,0
Fixing Error,4,wait,409,0
Fixing Error,5,work,22,0
Fixing Error,5,wait,498,0
Voting on Alternatives,1,work,25,0
Voting on Alternatives,1,wait,203,0
Voting on Alternatives,2,work,35,0
Voting on Alternatives,2,wait,280,0
Voting on Alternatives,3,work,46,0
Voting on Alternatives,3,wait,299,0
Voting on Alternatives,4,work,14,0
Voting on Alternatives,4,wait,395,0
Voting on Alternatives,5,work,73,0
Voting on Alternatives,5,wait,549,0
Fixing Error,1,work,59,0
Fixing Error,1,wait,96,0
Fixing Error,2,work,17,0
Fixing Error,2,wait,247,0
Fixing Error,3,work,23,0
Fixing Error,3,wait,352,0
Fixing Error,4,work,153,0
Fixing Error,4,wait,395,0
Fixing Error,5,work,34,0
Fixing Error,5,wait,831,0
Voting on Alternatives,1,work,54,0
Voting on Alternatives,1,wait,71,0
Voting on Alternatives,2,work,51,0
Voting on Alternatives,2,wait,80,0
Voting on Alternatives,3,work,39,0
Voting on Alternatives,3,wait,150,0
Voting on Alternatives,4,work,49,0
Voting on Alternatives,4,wait,149,0
Fixing Error,1,work,14,0
Fixing Error,1,wait,179,0
Fixing Error,2,work,46,0
Fixing Error,2,wait,162,0
Fixing Error,3,work,61,0
Fixing Error,3,wait,451,0
Fixing Error,4,work,134,0
Fixing Error,4,wait,580,0
Fixing Error,5,work,27,0
Fixing Error,5,wait,802,0
Voting on Alternatives,1,work,100,0
Voting on Alternatives,1,wait,78,0
Voting on Alternatives,2,work,87,0
Voting on Alternatives,2,wait,124,0
Voting on Alternatives,3,work,20,0
Voting on Alternatives,3,wait,404,0
Voting on Alternatives,4,work,45,0
Voting on Alternatives,4,wait,465,0
