Stage,Assignment,Wait Type,Time,Paragraph
Fixing Error,1,work,34,0
Fixing Error,1,wait,306,0
Fixing Error,2,work,120,0
Fixing Error,2,wait,239,0
Fixing Error,3,work,159,0
Fixing Error,3,wait,229,0
Fixing Error,4,work,12,0
Fixing Error,4,wait,1031,0
Fixing Error,5,work,32,0
Fixing Error,5,wait,1276,0
Voting on Alternatives,1,work,111,0
Voting on Alternatives,1,wait,8,0
Voting on Alternatives,2,work,9,0
Voting on Alternatives,2,wait,338,0
Voting on Alternatives,3,work,22,0
Voting on Alternatives,3,wait,683,0
Voting on Alternatives,4,work,51,0
Voting on Alternatives,4,wait,682,0
Voting on Alternatives,5,work,17,0
Voting on Alternatives,5,wait,868,0
Fixing Error,1,work,19,0
Fixing Error,1,wait,346,0
Fixing Error,2,work,28,0
Fixing Error,2,wait,389,0
Fixing Error,3,work,58,0
Fixing Error,3,wait,408,0
Fixing Error,4,work,50,0
Fixing Error,4,wait,758,0
Fixing Error,5,work,10,0
Fixing Error,5,wait,1042,0
Voting on Alternatives,1,work,47,0
Voting on Alternatives,1,wait,180,0
Voting on Alternatives,2,work,14,0
Voting on Alternatives,2,wait,601,0
Voting on Alternatives,3,work,50,0
Voting on Alternatives,3,wait,872,0
Voting on Alternatives,4,work,45,0
Voting on Alternatives,4,wait,1073,0
Voting on Alternatives,5,work,124,0
Voting on Alternatives,5,wait,9757,0
