Stage,Assignment,Wait Type,Time,Paragraph
Fixing Error,1,work,42,0
Fixing Error,1,wait,45,0
Fixing Error,2,work,92,0
Fixing Error,2,wait,131,0
Fixing Error,3,work,56,0
Fixing Error,3,wait,267,0
Fixing Error,4,work,42,0
Fixing Error,4,wait,305,0
Fixing Error,5,work,102,0
Fixing Error,5,wait,318,0
Fixing Error,6,work,39,0
Fixing Error,6,wait,453,0
Voting on Alternatives,1,work,25,0
Voting on Alternatives,1,wait,79,0
Voting on Alternatives,2,work,119,0
Voting on Alternatives,2,wait,312,0
Voting on Alternatives,3,work,191,0
Voting on Alternatives,3,wait,266,0
Voting on Alternatives,4,work,78,0
Voting on Alternatives,4,wait,549,0
Voting on Alternatives,5,work,25,0
Voting on Alternatives,5,wait,1085,0
Fixing Error,1,work,18,0
Fixing Error,1,wait,101,0
Fixing Error,2,work,58,0
Fixing Error,2,wait,123,0
Fixing Error,3,work,69,0
Fixing Error,3,wait,347,0
Fixing Error,4,work,21,0
Fixing Error,4,wait,424,0
Fixing Error,5,work,97,0
Fixing Error,5,wait,414,0
Fixing Error,6,work,117,0
Fixing Error,6,wait,423,0
Voting on Alternatives,1,work,40,0
Voting on Alternatives,1,wait,42,0
Voting on Alternatives,2,work,127,0
Voting on Alternatives,2,wait,102,0
Voting on Alternatives,3,work,95,0
Voting on Alternatives,3,wait,193,0
Voting on Alternatives,4,work,38,0
Voting on Alternatives,4,wait,260,0
Voting on Alternatives,5,work,25,0
Voting on Alternatives,5,wait,416,0
Voting on Alternatives,6,work,181,0
Voting on Alternatives,6,wait,264,0
Voting on Alternatives,7,work,127,0
Voting on Alternatives,7,wait,394,0
