Stage,Assignment,Cost,Paragraph
Fixing Error,1,0.5,0
Fixing Error,2,0.5,0
Fixing Error,3,0.5,0
Fixing Error,4,0.5,0
Fixing Error,5,0.5,0
Voting on Alternatives,1,0.03,0
Voting on Alternatives,2,0.03,0
Voting on Alternatives,3,0.03,0
Voting on Alternatives,4,0.03,0
Voting on Alternatives,5,0.03,0
Voting on Alternatives,6,0.03,0
Fixing Error,1,0.5,0
Fixing Error,2,0.5,0
Fixing Error,3,0.5,0
Fixing Error,4,0.5,0
Fixing Error,5,0.5,0
Fixing Error,6,0.5,0
Fixing Error,7,0.5,0
Voting on Alternatives,1,0.03,0
Voting on Alternatives,2,0.03,0
Voting on Alternatives,3,0.03,0
Voting on Alternatives,4,0.03,0
Voting on Alternatives,5,0.03,0
