Stage,Assignment,Wait Type,Time
Find,1,work,50
Find,1,wait,49
Find,2,work,20
Find,2,wait,161
Find,3,work,38
Find,3,wait,177
Find,4,work,62
Find,4,wait,183
Find,5,work,48
Find,5,wait,413
Find,6,work,148
Find,6,wait,921
Find,7,work,62
Find,7,wait,1783
Find,8,work,17
Find,8,wait,2987
Find,9,work,23
Find,9,wait,12132
Find,10,work,42
Find,10,wait,17855
Find,1,work,44
Find,1,wait,127
Find,2,work,81
Find,2,wait,102
Find,3,work,49
Find,3,wait,153
Find,4,work,16
Find,4,wait,186
Find,5,work,141
Find,5,wait,689
Find,6,work,104
Find,6,wait,776
Find,7,work,79
Find,7,wait,1849
Find,8,work,107
Find,8,wait,2840
Find,9,work,67
Find,9,wait,13684
Find,10,work,15
Find,10,wait,17940
