Stage,Assignment,Wait Type,Time
Find,1,work,70
Find,1,wait,95
Find,2,work,59
Find,2,wait,507
Find,3,work,31
Find,3,wait,594
Find,4,work,110
Find,4,wait,567
Find,5,work,24
Find,5,wait,888
Find,1,work,58
Find,1,wait,218
Find,2,work,31
Find,2,wait,601
Find,3,work,33
Find,3,wait,661
Find,4,work,40
Find,4,wait,786
Find,1,work,43
Find,1,wait,275
Find,2,work,40
Find,2,wait,552
Find,3,work,35
Find,3,wait,564
Find,4,work,34
Find,4,wait,622
Find,5,work,50
Find,5,wait,907
Find,6,work,77
Find,6,wait,1249
Find,1,work,113
Find,1,wait,318
Find,2,work,72
Find,2,wait,674
Find,3,work,59
Find,3,wait,694
Find,4,work,54
Find,4,wait,784
Find,1,work,121
Find,1,wait,306
Find,2,work,47
Find,2,wait,431
Find,3,work,84
Find,3,wait,630
Find,4,work,16
Find,4,wait,698
Find,5,work,46
Find,5,wait,860
Find,6,work,16
Find,6,wait,953
Find,1,work,54
Find,1,wait,161
Find,2,work,62
Find,2,wait,441
Find,3,work,65
Find,3,wait,445
Find,4,work,18
Find,4,wait,532
Find,5,work,28
Find,5,wait,574
Find,6,work,37
Find,6,wait,746
Find,7,work,39
Find,7,wait,1225
Find,1,work,114
Find,1,wait,477
Find,2,work,15
Find,2,wait,669
Find,3,work,68
Find,3,wait,713
Find,4,work,34
Find,4,wait,823
