Stage,Assignment,Wait Type,Time
Find,1,work,34
Find,1,wait,226
Find,2,work,19
Find,2,wait,249
Find,3,work,37
Find,3,wait,263
Find,4,work,44
Find,4,wait,295
Find,5,work,10
Find,5,wait,376
Find,6,work,32
Find,6,wait,608
Find,7,work,58
Find,7,wait,590
Find,8,work,32
Find,8,wait,988
Find,9,work,136
Find,9,wait,899
Find,1,work,38
Find,1,wait,186
Find,2,work,45
Find,2,wait,202
Find,3,work,23
Find,3,wait,320
Find,4,work,19
Find,4,wait,394
Find,5,work,19
Find,5,wait,436
Find,6,work,76
Find,6,wait,763
Find,7,work,67
Find,7,wait,773
Find,1,work,28
Find,1,wait,152
Find,2,work,18
Find,2,wait,267
Find,3,work,41
Find,3,wait,315
Find,4,work,18
Find,4,wait,371
Find,5,work,42
Find,5,wait,392
Find,6,work,31
Find,6,wait,638
Find,7,work,28
Find,7,wait,957
Find,1,work,26
Find,1,wait,179
Find,2,work,19
Find,2,wait,272
Find,3,work,21
Find,3,wait,327
Find,4,work,7
Find,4,wait,383
Find,5,work,18
Find,5,wait,458
Find,6,work,112
Find,6,wait,469
Find,7,work,68
Find,7,wait,669
Find,8,work,30
Find,8,wait,889
Find,1,work,14
Find,1,wait,256
Find,2,work,21
Find,2,wait,296
Find,3,work,18
Find,3,wait,308
Find,4,work,63
Find,4,wait,308
Find,5,work,16
Find,5,wait,438
Find,6,work,185
Find,6,wait,419
Find,7,work,24
Find,7,wait,736
Find,8,work,32
Find,8,wait,855
Find,9,work,87
Find,9,wait,1545
Find,1,work,22
Find,1,wait,237
Find,2,work,23
Find,2,wait,284
Find,3,work,21
Find,3,wait,291
Find,4,work,21
Find,4,wait,413
Find,5,work,18
Find,5,wait,454
Find,6,work,36
Find,6,wait,918
Find,7,work,153
Find,7,wait,837
Find,1,work,23
Find,1,wait,159
Find,2,work,33
Find,2,wait,203
Find,3,work,16
Find,3,wait,346
Find,4,work,23
Find,4,wait,340
Find,5,work,23
Find,5,wait,472
Find,6,work,17
Find,6,wait,837
Find,7,work,40
Find,7,wait,990
Find,8,work,169
Find,8,wait,1445
