Stage,Assignment,Wait Type,Time
Find,1,work,15
Find,1,wait,112
Find,2,work,38
Find,2,wait,105
Find,3,work,56
Find,3,wait,114
Find,4,work,16
Find,4,wait,255
Find,5,work,266
Find,5,wait,627
Find,6,work,41
Find,6,wait,1688
Find,1,work,17
Find,1,wait,87
Find,2,work,12
Find,2,wait,127
Find,3,work,16
Find,3,wait,210
Find,4,work,78
Find,4,wait,263
Find,5,work,270
Find,5,wait,536
Find,6,work,33
Find,6,wait,1650
Find,7,work,48
Find,7,wait,1648
Find,1,work,10
Find,1,wait,139
Find,2,work,13
Find,2,wait,150
Find,3,work,33
Find,3,wait,175
Find,4,work,90
Find,4,wait,172
Find,5,work,69
Find,5,wait,1839
Find,6,work,51
Find,6,wait,2579
Find,1,work,14
Find,1,wait,53
Find,2,work,72
Find,2,wait,37
Find,3,work,7
Find,3,wait,162
Find,4,work,15
Find,4,wait,158
Find,5,work,103
Find,5,wait,1731
Find,6,work,45
Find,6,wait,2630
Find,1,work,32
Find,1,wait,67
Find,2,work,6
Find,2,wait,141
Find,3,work,28
Find,3,wait,223
Find,4,work,42
Find,4,wait,339
Find,5,work,96
Find,5,wait,1545
Find,6,work,32
Find,6,wait,2544
