Stage,Assignment,Wait Type,Time,Paragraph
Fixing Error,1,work,23,0
Fixing Error,1,wait,294,0
Fixing Error,2,work,18,0
Fixing Error,2,wait,362,0
Fixing Error,3,work,28,0
Fixing Error,3,wait,402,0
Fixing Error,4,work,89,0
Fixing Error,4,wait,876,0
Fixing Error,5,work,22,0
Fixing Error,5,wait,6074,0
Voting on Alternatives,1,work,17,0
Voting on Alternatives,1,wait,134,0
Voting on Alternatives,2,work,95,0
Voting on Alternatives,2,wait,61,0
Voting on Alternatives,3,work,20,0
Voting on Alternatives,3,wait,137,0
Voting on Alternatives,4,work,12,0
Voting on Alternatives,4,wait,230,0
Voting on Alternatives,5,work,190,0
Voting on Alternatives,5,wait,146,0
Fixing Error,1,work,39,0
Fixing Error,1,wait,245,0
Fixing Error,2,work,12,0
Fixing Error,2,wait,345,0
Fixing Error,3,work,19,0
Fixing Error,3,wait,1070,0
Fixing Error,4,work,137,0
Fixing Error,4,wait,5051,0
Fixing Error,5,work,84,0
Fixing Error,5,wait,6166,0
Voting on Alternatives,1,work,23,0
Voting on Alternatives,1,wait,34,0
Voting on Alternatives,2,work,25,0
Voting on Alternatives,2,wait,54,0
Voting on Alternatives,3,work,34,0
Voting on Alternatives,3,wait,115,0
Voting on Alternatives,4,work,86,0
Voting on Alternatives,4,wait,345,0
Voting on Alternatives,5,work,109,0
Voting on Alternatives,5,wait,639,0
