Stage,Assignment,Cost,Paragraph
Find,1,0.08,0
Find,2,0.08,0
Find,3,0.08,0
Find,4,0.08,0
Find,5,0.08,0
Find,6,0.08,0
Find,7,0.08,0
Find,8,0.08,0
Fixing Error,1,0.05,0
Fixing Error,2,0.05,0
Fixing Error,3,0.05,0
Voting on Alternatives,1,0.04,0
Voting on Alternatives,2,0.04,0
Voting on Alternatives,3,0.04,0
Voting on Alternatives,4,0.04,0
Voting on Alternatives,5,0.04,0
Voting on Alternatives,6,0.04,0
Voting on Alternatives,7,0.04,0
Fixing Error,1,0.05,0
Fixing Error,2,0.05,0
Fixing Error,3,0.05,0
Voting on Alternatives,1,0.04,0
Voting on Alternatives,2,0.04,0
Voting on Alternatives,3,0.04,0
Voting on Alternatives,4,0.04,0
Voting on Alternatives,5,0.04,0
Voting on Alternatives,6,0.04,0
Voting on Alternatives,7,0.04,0
Find,1,0.08,1
Find,2,0.08,1
Find,3,0.08,1
Find,4,0.08,1
Find,5,0.08,1
Find,6,0.08,1
Fixing Error,1,0.05,1
Fixing Error,2,0.05,1
Fixing Error,3,0.05,1
Fixing Error,4,0.05,1
Fixing Error,5,0.05,1
Voting on Alternatives,1,0.04,1
Voting on Alternatives,2,0.04,1
Voting on Alternatives,3,0.04,1
Voting on Alternatives,4,0.04,1
Voting on Alternatives,5,0.04,1
Voting on Alternatives,6,0.04,1
Voting on Alternatives,7,0.04,1
Fixing Error,1,0.05,1
Fixing Error,2,0.05,1
Fixing Error,3,0.05,1
Voting on Alternatives,1,0.04,1
Voting on Alternatives,2,0.04,1
Voting on Alternatives,3,0.04,1
Voting on Alternatives,4,0.04,1
Fixing Error,1,0.05,1
Fixing Error,2,0.05,1
Fixing Error,3,0.05,1
Fixing Error,4,0.05,1
Fixing Error,5,0.05,1
Voting on Alternatives,1,0.04,1
Voting on Alternatives,2,0.04,1
Voting on Alternatives,3,0.04,1
Voting on Alternatives,4,0.04,1
Voting on Alternatives,5,0.04,1
Voting on Alternatives,6,0.04,1
Voting on Alternatives,7,0.04,1
Find,1,0.08,2
Find,2,0.08,2
Find,3,0.08,2
Find,4,0.08,2
Find,5,0.08,2
Find,6,0.08,2
Fixing Error,1,0.05,2
Fixing Error,2,0.05,2
Fixing Error,3,0.05,2
Fixing Error,4,0.05,2
Voting on Alternatives,1,0.04,2
Voting on Alternatives,2,0.04,2
Voting on Alternatives,3,0.04,2
Voting on Alternatives,4,0.04,2
Voting on Alternatives,5,0.04,2
Voting on Alternatives,6,0.04,2
Voting on Alternatives,7,0.04,2
Fixing Error,1,0.05,2
Fixing Error,2,0.05,2
Fixing Error,3,0.05,2
Fixing Error,4,0.05,2
Fixing Error,5,0.05,2
Voting on Alternatives,1,0.04,2
Voting on Alternatives,2,0.04,2
Voting on Alternatives,3,0.04,2
Voting on Alternatives,4,0.04,2
Voting on Alternatives,5,0.04,2
Voting on Alternatives,6,0.04,2
Voting on Alternatives,7,0.04,2
