Stage,Assignment,Wait Type,Time
Error Identification,1,work,135
Error Identification,1,wait,71
Error Identification,2,work,59
Error Identification,2,wait,230
Error Identification,3,work,14
Error Identification,3,wait,399
Error Identification,4,work,35
Error Identification,4,wait,515
Error Identification,5,work,48
Error Identification,5,wait,539
Error Identification,6,work,17
Error Identification,6,wait,799
Error Identification,7,work,69
Error Identification,7,wait,861
Error Identification,8,work,115
Error Identification,8,wait,1028
Fixing Error,1,work,24
Fixing Error,1,wait,32
Fixing Error,2,work,101
Fixing Error,2,wait,346
Fixing Error,3,work,126
Fixing Error,3,wait,340
Fixing Error,4,work,67
Fixing Error,4,wait,515
Fixing Error,5,work,134
Fixing Error,5,wait,1184
Voting on Alternatives,1,work,33
Voting on Alternatives,1,wait,223
Voting on Alternatives,2,work,38
Voting on Alternatives,2,wait,277
Voting on Alternatives,3,work,11
Voting on Alternatives,3,wait,448
Voting on Alternatives,4,work,60
Voting on Alternatives,4,wait,430
Voting on Alternatives,5,work,60
Voting on Alternatives,5,wait,650
Fixing Error,1,work,15
Fixing Error,1,wait,59
Fixing Error,2,work,65
Fixing Error,2,wait,331
Fixing Error,3,work,62
Fixing Error,3,wait,363
Fixing Error,4,work,18
Fixing Error,4,wait,558
Fixing Error,5,work,32
Fixing Error,5,wait,824
Voting on Alternatives,1,work,18
Voting on Alternatives,1,wait,59
Voting on Alternatives,2,work,27
Voting on Alternatives,2,wait,218
Voting on Alternatives,3,work,64
Voting on Alternatives,3,wait,542
Voting on Alternatives,4,work,55
Voting on Alternatives,4,wait,606
Voting on Alternatives,5,work,9
Voting on Alternatives,5,wait,849
Fixing Error,1,work,15
Fixing Error,1,wait,90
Fixing Error,2,work,160
Fixing Error,2,wait,37
Fixing Error,3,work,79
Fixing Error,3,wait,248
Fixing Error,4,work,58
Fixing Error,4,wait,454
Fixing Error,5,work,19
Fixing Error,5,wait,533
Voting on Alternatives,1,work,42
Voting on Alternatives,1,wait,29
Voting on Alternatives,2,work,54
Voting on Alternatives,2,wait,46
Voting on Alternatives,3,work,54
Voting on Alternatives,3,wait,266
Voting on Alternatives,4,work,57
Voting on Alternatives,4,wait,354
Voting on Alternatives,5,work,21
Voting on Alternatives,5,wait,537
Fixing Error,1,work,45
Fixing Error,1,wait,107
Fixing Error,2,work,161
Fixing Error,2,wait,72
Fixing Error,3,work,59
Fixing Error,3,wait,394
Fixing Error,4,work,49
Fixing Error,4,wait,472
Fixing Error,5,work,37
Fixing Error,5,wait,775
Voting on Alternatives,1,work,22
Voting on Alternatives,1,wait,73
Voting on Alternatives,2,work,23
Voting on Alternatives,2,wait,284
Voting on Alternatives,3,work,76
Voting on Alternatives,3,wait,461
Voting on Alternatives,4,work,59
Voting on Alternatives,4,wait,532
Voting on Alternatives,5,work,70
Voting on Alternatives,5,wait,695
Error Identification,1,work,61
Error Identification,1,wait,206
Error Identification,2,work,30
Error Identification,2,wait,292
Error Identification,3,work,26
Error Identification,3,wait,342
Error Identification,4,work,41
Error Identification,4,wait,362
Error Identification,5,work,43
Error Identification,5,wait,471
Error Identification,6,work,57
Error Identification,6,wait,481
Error Identification,7,work,122
Error Identification,7,wait,585
Error Identification,8,work,13
Error Identification,8,wait,815
Error Identification,9,work,187
Error Identification,9,wait,659
Error Identification,10,work,60
Error Identification,10,wait,960
Fixing Error,1,work,32
Fixing Error,1,wait,25
Fixing Error,2,work,20
Fixing Error,2,wait,50
Fixing Error,3,work,76
Fixing Error,3,wait,65
Fixing Error,4,work,91
Fixing Error,4,wait,198
Fixing Error,5,work,148
Fixing Error,5,wait,262
Voting on Alternatives,1,work,21
Voting on Alternatives,1,wait,111
Voting on Alternatives,2,work,81
Voting on Alternatives,2,wait,128
Voting on Alternatives,3,work,36
Voting on Alternatives,3,wait,335
Voting on Alternatives,4,work,25
Voting on Alternatives,4,wait,363
Voting on Alternatives,5,work,37
Voting on Alternatives,5,wait,410
Voting on Alternatives,6,work,50
Voting on Alternatives,6,wait,527
Fixing Error,1,work,17
Fixing Error,1,wait,29
Fixing Error,2,work,11
Fixing Error,2,wait,66
Fixing Error,3,work,44
Fixing Error,3,wait,172
Fixing Error,4,work,188
Fixing Error,4,wait,333
Fixing Error,5,work,18
Fixing Error,5,wait,832
Voting on Alternatives,1,work,31
Voting on Alternatives,1,wait,24
Voting on Alternatives,2,work,40
Voting on Alternatives,2,wait,33
Voting on Alternatives,3,work,22
Voting on Alternatives,3,wait,248
Voting on Alternatives,4,work,19
Voting on Alternatives,4,wait,481
Voting on Alternatives,5,work,25
Voting on Alternatives,5,wait,610
